group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,distance_from_origin_mean,distance_from_origin_std,distance_from_origin_min,distance_from_origin_max,velocity_xy_mean,velocity_xy_std,velocity_xy_min,velocity_xy_max,velocity_z_mean,velocity_z_std,velocity_z_min,velocity_z_max,length_mean,length_std,length_min,length_max,height_mean,height_std,height_min,height_max,torso_angle_mean,torso_angle_std,torso_angle_min,torso_angle_max,angle_to_origin_mean,angle_to_origin_std,angle_to_origin_min,angle_to_origin_max,frequency,total_duration,duration
control,pre101,10,0.2706703454037162,1.9201636293438582,-3.140240896,3.140179186,-0.9630463285320945,16.8986495701496,-125.2300007,6.174318847,15.794747481586148,6.547697320340382,1.204688015,37.82386444,6.428904325768581,1.6136176229150017,0.993647365,9.007536735,4.2681633020101355,2.991791545201898,0.010741335,14.01077129,1.0184627688631758,1.2136552824116695,0.005205635,9.24873648,4.749439070820946,0.6495437990191381,3.052924388,6.783588587,0.945802528125,0.6124848058740217,0.000404603,2.644251106,2.893950625216216,0.15500346015252542,2.362706386,3.140613775,1.4309967991199324,0.7918327500474992,0.009294979,3.140095818,0.053929121725731895,0.05016949152542373,0.8457142857142858
control,pre101,11,0.0719756566111111,1.8277860017118548,-3.064202001,3.114144545,-0.00179068032291666,10.475315670796174,-4.663792686,124.9004582,16.306409259663194,6.65998988494796,1.504308398,36.91879098,6.083776800868055,1.2927793575182127,2.467960631,8.836624059,3.548530878708333,2.1809278111661654,0.217753366,10.51171604,2.601393221625,2.600769323857336,0.003532873,19.21477234,3.677709308902778,0.903884758737307,1.29128593,6.225346761,2.7960040268229167,1.0906514079982381,0.115309828,5.59330426,2.692696559427083,0.521338978971925,0.112032558,3.137241133,1.7036174851458332,0.9005908064142955,0.008660097,3.137117179,0.04160246533127889,0.02440677966101695,0.5333333333333333
control,pre101,12,-0.23048108955387933,1.7239802102038448,-3.126396554,3.140164349,0.13547918357112068,8.21748025250252,-124.390772,124.4437744,15.153066371614223,6.289084500817797,1.559360311,38.78052002,5.683758012534482,1.5118384747885045,2.837612421,8.841193444,2.1505883281077587,2.1279134830890403,0.004643845,12.93944789,1.514544662551724,1.7004499166638156,1.29e-05,9.860029319,3.598015129586207,0.6796575238602928,2.357817399,5.653934099,3.0576159819698274,0.8834141987259807,0.843148705,5.553646102,2.7082731404935347,0.32136447883642344,1.768667536,3.141505499,1.0181661463125,0.7697915984860171,0.016816067,3.136255441,0.023112480739599383,0.03932203389830508,1.5466666666666666
control,pre101,13,-0.3812178521616162,1.5269784018779844,-3.101634716,3.123023514,-0.16436107412373735,8.862888559437248,-3.763474044,123.9911986,16.377805885381314,7.548576186701171,2.620179653,48.41176613,4.898808530280303,1.7850397248954037,0.236067191,8.019004227,7.246055187313132,4.594215690822407,0.066872596,17.57501625,1.535330622959596,1.3204599949591165,0.002559543,6.317145545,5.328755348358586,0.8138684340276566,2.570659925,6.941616206,1.2741661721313131,0.764196278125845,0.018480977,3.189135855,2.9608397924621213,0.18273896865461237,1.851764096,3.141130569,1.6849669762525252,0.7818724695108346,0.016810799,3.140788083,0.02465331278890601,0.0335593220338983,1.2375
control,pre101,14,0.25800453485714286,0.38446280098720603,-0.271056657,0.596050155,2.786061647285714,0.9911991062025625,1.210932586,3.739979049,16.067050715857143,6.190064306559726,4.968594341,21.48085537,8.385803206999999,0.21910020679788594,7.999475086,8.598795647,2.286691257,0.8837571023264008,1.04432612,3.526314071,2.7386389542857144,2.072682956844746,0.09230939,5.647973157,4.073517162,0.05609928169927029,3.972870776,4.15057434,3.147638477571429,0.427706250016729,2.400665845,3.747235047,2.807995753857143,0.07433750139531152,2.69505665,2.878120378,1.7143041550000002,0.061919035207625685,1.647910595,1.843693009,0.0015408320493066256,0.0005932203389830508,0.35
control,pre101,15,-0.4333876491875,1.3639840167967239,-3.119146235,3.086801169,0.039647215991071426,0.7159052809788063,-1.473365758,3.841560808,14.93534956460826,6.7246612965203685,1.323498838,35.43945598,5.661801571381696,1.5726631319605107,1.569741738,8.969358737,1.2837071204642856,1.342413713756067,0.006307802,9.551556537,0.7470958277075893,0.9008760574134177,0.000194831,5.541492042,3.481103599565848,0.6346242037076387,2.017031175,5.689751069,2.464939968415179,0.7881120684988975,0.032427307,4.421571443,2.6226878239151787,0.34166632521658014,1.34063913,3.14014243,1.3353334157176338,0.9429391491466135,0.00041944,3.141118165,0.02465331278890601,0.0759322033898305,2.8
control,pre101,17,-0.31211993324107146,1.500085113005332,-3.074395457,3.004785309,0.6200287778928572,11.857615096799858,-1.965325493,124.8029398,16.592503182901787,6.073538950565697,2.795857144,27.36031977,7.448237150598215,0.7297282455104156,5.399797552,8.646349081,2.268219052919643,1.814553938348795,0.044515569,7.193643304,1.8379261771517859,1.6514033960763064,0.009178928,9.868473834,2.5720059119553573,0.7886398774072005,1.025595275,4.710404166,3.92168735225,0.878882016567,1.749039128,5.603244027,2.177212373642857,0.5996485992257578,0.330704778,3.133218566,1.3263674114732142,0.6984867751685758,0.594624072,3.122601442,0.009244992295839754,0.009491525423728813,0.9333333333333333
control,pre101,18,-0.22688743067938932,2.396764927772967,-3.133539339,3.136044911,-0.1269943279770993,15.474590726215306,-124.9540761,125.2731879,15.963015933812978,6.431681248856179,3.112297407,34.50920449,4.638401618320611,1.8738146942020655,1.259510518,7.50523897,2.058341048419847,1.5761850421021768,0.011545588,7.710530194,2.1483370200610685,2.2310919683279105,0.006413035,12.71149394,3.542570808755725,0.7327666302515526,1.54312453,5.280027757,3.8136248267900763,0.974121170643798,1.030062933,6.092791748,2.7715913804083967,0.3202180739295927,2.044355541,3.139086418,0.4787708628587786,0.43445733493616967,0.000550538,2.218133461,0.01848998459167951,0.022203389830508475,1.0916666666666666
control,pre101,23,-0.20958966258677686,2.220703034485748,-3.112742714,3.113297958,-1.2040635534214874,16.120621390777664,-125.3452966,3.013954161,16.46198854040496,8.309647576121822,2.874298859,41.33792363,5.333955655570247,1.6262386631960946,2.263619726,8.15116075,8.514537076661158,4.156554985314208,1.17438033,17.65751619,0.9410973781652893,1.0185659404612022,0.004516945,5.468243685,5.616929830752067,0.6884296180818994,3.889921536,6.587178803,0.5669403775950413,0.47020974270907223,0.002143737,2.646213816,3.0291291981735537,0.08927047072225668,2.774199315,3.138032527,1.7127988264710745,0.7628848452488467,0.013788876,3.085460085,0.007704160246533128,0.010254237288135593,1.21
control,pre101,24,0.7147716557652174,0.2611082121182779,0.441817798,2.031795065,-0.13145772923043478,0.42369834716965016,-2.076410222,0.609857344,15.492979811995651,6.362225594245174,2.564495394,33.8977007,8.814835626908696,0.1515360536817111,7.951265192,9.012600403,1.0617563472826088,1.3658211973732317,0.046476582,8.829021577,0.4785600465608696,0.4402167429321652,0.007361781,2.903496469,3.985984846543478,0.2505483206090934,3.15156916,4.846144048,0.6997049908608696,0.22018469071285626,0.025967625,1.34821858,2.7769645820478264,0.3744120909521381,1.682393683,3.130348984,2.7753030117826087,0.1606823382474403,2.306407277,3.138191895,0.01078582434514638,0.019491525423728815,1.6428571428571428
